city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,id
Maplewood,Maplewood,MO,Missouri,29189,St. Louis,38.6121,-90.324,1840009740
Wickenburg,Wickenburg,AZ,Arizona,4013,Maricopa,33.9837,-112.7668,1840022916
Selah,Selah,WA,Washington,53077,Yakima,46.6482,-120.539,1840021149
Shorewood,Shorewood,MN,Minnesota,27053,Hennepin,44.9033,-93.5903,1840008925
Helena Valley West Central,Helena Valley West Central,MT,Montana,30049,Lewis and Clark,46.6634,-112.0604,1840074081
Applewood,Applewood,CO,Colorado,8059,Jefferson,39.7524,-105.1605,1840028573
Kronenwetter,Kronenwetter,WI,Wisconsin,55073,Marathon,44.8164,-89.5807,1840038099
Gilberts,Gilberts,IL,Illinois,17089,Kane,42.1096,-88.3716,1840011348
Bargersville,Bargersville,IN,Indiana,18081,Johnson,39.5412,-86.2004,1840009569
Hampton,Hampton,GA,Georgia,13151,Henry,33.3835,-84.2855,1840013751
Sudden Valley,Sudden Valley,WA,Washington,53073,Whatcom,48.7199,-122.3468,1840037740
Hollymead,Hollymead,VA,Virginia,51003,Albemarle,38.1266,-78.4386,1840024700
Rockmart,Rockmart,GA,Georgia,13233,Polk,34.0103,-85.0441,1840014753
Lake Carmel,Lake Carmel,NY,New York,36079,Putnam,41.4612,-73.6681,1840004890
Lockwood,Lockwood,MT,Montana,30111,Yellowstone,45.8199,-108.4072,1840018492
Wyoming,Wyoming,MN,Minnesota,27025,Chisago,45.3365,-92.9766,1840009992
Lake Dallas,Lake Dallas,TX,Texas,48121,Denton,33.1277,-97.0234,1840020646
Bloomingdale,Bloomingdale,NJ,New Jersey,34031,Passaic,41.03,-74.3319,1840000832
Rolling Hills Estates,Rolling Hills Estates,CA,California,6037,Los Angeles,33.7783,-118.3509,1840020494
North Bay Village,North Bay Village,FL,Florida,12086,Miami-Dade,25.8487,-80.1535,1840015153
South Cleveland,South Cleveland,TN,Tennessee,47011,Bradley,35.1097,-84.9097,1840036101
Willits,Willits,CA,California,6045,Mendocino,39.4047,-123.3494,1840021421
Clinton,Clinton,IL,Illinois,17039,De Witt,40.1468,-88.9633,1840007255
Skiatook,Skiatook,OK,Oklahoma,40113,Osage,36.3694,-95.9819,1840022597
Decorah,Decorah,IA,Iowa,19191,Winneshiek,43.3015,-91.7844,1840006864
Brookhaven,Brookhaven,PA,Pennsylvania,42045,Delaware,39.8715,-75.3918,1840000689
Diamondhead,Diamondhead,MS,Mississippi,28045,Hancock,30.3791,-89.3708,1840013106
Conshohocken,Conshohocken,PA,Pennsylvania,42091,Montgomery,40.0772,-75.3035,1840003697
Floresville,Floresville,TX,Texas,48493,Wilson,29.14,-98.163,1840020981
Ripley,Ripley,TN,Tennessee,47097,Lauderdale,35.7449,-89.5358,1840014509
Chardon,Chardon,OH,Ohio,39055,Geauga,41.5803,-81.2082,1840010219
Morehead,Morehead,KY,Kentucky,21205,Rowan,38.1906,-83.4467,1840014291
Ripon,Ripon,WI,Wisconsin,55039,Fond du Lac,43.8436,-88.8387,1840002609
Odessa,Odessa,FL,Florida,12101,Pasco,28.182,-82.553,1840014121
Bellevue,Bellevue,PA,Pennsylvania,42003,Allegheny,40.4945,-80.055,1840001203
Mayo,Mayo,MD,Maryland,24003,Anne Arundel,38.9041,-76.518,1840005923
Northfield,Northfield,NJ,New Jersey,34001,Atlantic,39.3718,-74.5543,1840001538
Menominee,Menominee,MI,Michigan,26109,Menominee,45.122,-87.6234,1840002006
Pleasant Hills,Pleasant Hills,PA,Pennsylvania,42003,Allegheny,40.3298,-79.9596,1840001255
Pahokee,Pahokee,FL,Florida,12099,Palm Beach,26.8202,-80.662,1840015124
Ahuimanu,Ahuimanu,HI,Hawaii,15003,Honolulu,21.4379,-157.8404,1840029468
Crete,Crete,IL,Illinois,17197,Will,41.44,-87.6236,1840011484
Loudoun Valley Estates,Loudoun Valley Estates,VA,Virginia,51107,Loudoun,38.9801,-77.5082,1840041775
Chestnut Ridge,Chestnut Ridge,NY,New York,36087,Rockland,41.0829,-74.0551,1840004992
Laurel Hill,Laurel Hill,VA,Virginia,51059,Fairfax,38.7026,-77.2422,1840025639
Island Lake,Island Lake,IL,Illinois,17097,Lake,42.2783,-88.1999,1840011155
Oak Brook,Oak Brook,IL,Illinois,17043,DuPage,41.8372,-87.9513,1840011408
Seaford,Seaford,DE,Delaware,10005,Sussex,38.6538,-75.611,1840006071
Evergreen,Evergreen,MT,Montana,30029,Flathead,48.2308,-114.2701,1840017297
Mascoutah,Mascoutah,IL,Illinois,17163,St. Clair,38.5192,-89.8044,1840008631
Brazil,Brazil,IN,Indiana,18021,Clay,39.5226,-87.124,1840005744
Aberdeen,Aberdeen,NC,North Carolina,37125,Moore,35.135,-79.4326,1840015433
Jennings Lodge,Jennings Lodge,OR,Oregon,41005,Clackamas,45.3926,-122.6153,1840017419
Jefferson,Jefferson,WI,Wisconsin,55055,Jefferson,43.0044,-88.8084,1840003001
Paloma Creek South,Paloma Creek South,TX,Texas,48121,Denton,33.21,-96.9327,1840041381
Manhasset,Manhasset,NY,New York,36059,Nassau,40.7884,-73.6943,1840005273
Green,Green,OR,Oregon,41019,Douglas,43.1509,-123.3854,1840017439
Lampasas,Lampasas,TX,Texas,48281,Lampasas,31.064,-98.1824,1840020846
Village Green-Green Ridge,Village Green-Green Ridge,PA,Pennsylvania,42045,Delaware,39.8638,-75.4256,1840073727
Kensington,Kensington,CT,Connecticut,9003,Hartford,41.6298,-72.7714,1840000505
Fort Belvoir,Fort Belvoir,VA,Virginia,51059,Fairfax,38.7119,-77.1459,1840073578
Brentwood,Brentwood,MO,Missouri,29189,St. Louis,38.6194,-90.3476,1840006128
Laughlin,Laughlin,NV,Nevada,32003,Clark,35.1316,-114.689,1840017689
Aztec,Aztec,NM,New Mexico,35045,San Juan,36.819,-107.9826,1840018993
St. Martin,St. Martin,MS,Mississippi,28059,Jackson,30.4399,-88.8651,1840032563
La Junta,La Junta,CO,Colorado,8089,Otero,37.9792,-103.5473,1840020270
Murphy,Murphy,MO,Missouri,29099,Jefferson,38.4922,-90.4856,1840006236
Southwest Ranches,Southwest Ranches,FL,Florida,12011,Broward,26.0476,-80.375,1840018328
Quincy,Quincy,FL,Florida,12039,Gadsden,30.5659,-84.5857,1840015022
Richland Hills,Richland Hills,TX,Texas,48439,Tarrant,32.8095,-97.2273,1840020700
Maryville,Maryville,IL,Illinois,17119,Madison,38.7261,-89.9646,1840012801
Baltimore Highlands,Baltimore Highlands,MD,Maryland,24005,Baltimore,39.2355,-76.6367,1840024447
Caldwell,Caldwell,NJ,New Jersey,34013,Essex,40.839,-74.2776,1840005354
